A,B,C,D
60,18,73,y
30,70,58,y
99,31,32,z
98,52,75,z
98,41,17,y
50,61,80,x
85,56,76,x
62,3,88,z
20,84,26,x
10,46,86,x
37,98,92,y
64,94,48,y
33,80,69,x
68,71,83,y
54,59,76,y
35,23,20,z
79,67,66,y
25,91,74,z
71,44,44,z
67,98,49,x
47,22,91,x
68,50,53,x
52,94,65,z
98,21,25,y
10,21,29,x
99,31,89,y
20,18,47,z
74,54,41,y
95,1,38,z
75,13,16,z
68,69,13,z
10,95,96,z
42,31,46,z
99,13,34,x
1,43,24,x
39,27,95,y
98,99,38,z
23,5,56,y
53,62,38,x
3,57,43,y
80,83,35,y
50,56,7,y
31,93,41,y
98,44,13,x
3,42,63,z
73,79,30,x
62,78,89,y
33,15,44,y
69,69,70,z
78,93,52,x
68,32,62,z
1,56,71,z
76,45,3,x
70,48,5,y
94,8,62,z
13,75,60,x
43,96,19,z
53,59,97,x
41,74,12,y
3,76,94,y
39,53,75,z
52,7,71,x
66,5,66,z
34,48,92,x
89,68,16,x
76,85,14,x
16,90,64,x
6,98,47,y
65,81,19,x
23,43,88,y
53,66,30,x
38,20,71,z
91,22,72,x
17,28,82,y
47,34,99,x
92,35,25,y
99,84,61,z
46,34,16,y
6,58,22,x
25,39,71,x
21,12,71,z
24,42,68,y
88,62,79,x
66,89,51,z
23,11,35,z
72,14,88,y
94,30,61,x
89,63,97,z
80,24,6,y
62,62,84,y
40,5,96,z
41,56,48,x
54,89,36,z
12,49,72,y
83,88,17,x
38,90,78,x
14,81,22,x
27,72,33,y
67,63,94,z
58,86,77,y
46,62,7,y
33,77,96,z
3,84,18,y
75,5,99,x
77,82,2,x
25,63,13,z
1,90,44,y
27,39,23,y
98,20,56,z
59,32,32,x
70,40,59,y
8,35,36,x
76,16,35,x
70,62,17,y
34,96,84,z
76,90,26,y
45,45,74,y
96,96,60,x
3,58,99,y
97,89,55,x
26,74,27,y
74,61,39,x
23,44,92,z
94,69,15,y
53,63,57,y
71,37,21,y
39,32,79,y
24,50,87,z
35,28,14,z
45,2,53,x
62,92,22,x
94,10,65,z
85,13,36,z
57,37,88,y
93,72,95,z
29,38,55,y
91,18,86,x
84,36,32,x
44,48,59,y
77,73,68,x
81,79,51,y
57,39,13,x
24,80,54,x
77,49,42,y
78,55,54,z
52,90,28,z
52,92,13,x
61,40,40,z
96,35,52,x
49,59,9,y
57,95,31,x
78,9,33,y
61,92,57,z
44,94,75,y
23,61,87,z
77,5,96,y
97,22,7,y
44,85,71,y
97,42,18,x
27,17,76,x
29,86,31,y
15,81,15,x
81,27,36,y
1,67,17,x
49,64,73,z
94,49,71,z
57,85,3,y
64,55,47,z
83,59,57,y
12,71,99,x
12,67,89,y
13,46,3,z
54,1,22,y
68,62,56,z
98,21,63,z
81,82,99,z
71,88,42,x
76,28,47,x
82,66,65,z
38,89,18,y
55,79,7,x
48,99,93,x
95,54,7,z
88,61,17,x
60,72,63,y
41,30,15,z
92,27,75,x
31,12,38,x
13,35,41,y
10,33,4,z
84,88,79,x
8,33,39,y
87,68,35,x
1,24,57,z
43,24,6,x
28,8,78,x
8,4,93,z
71,55,27,z
30,4,69,x
47,23,18,x
41,9,94,z
86,96,93,y
22,44,45,z
68,46,43,x
48,50,71,y
79,75,89,y
85,76,18,x
53,49,84,z
8,58,32,z
53,15,42,z
6,56,89,z
83,94,95,x
85,99,13,y
24,43,68,x
63,97,33,x
87,69,89,x
27,90,99,x
93,83,72,y
18,43,36,y
60,22,87,y
33,8,19,z
7,25,59,x
76,54,97,z
38,12,99,x
76,31,7,x
7,42,7,y
99,63,25,x
13,38,42,y
29,23,48,y
82,43,78,z
75,80,11,x
18,95,49,x
81,55,46,x
81,86,48,y
55,93,13,x
26,70,10,x
49,19,83,y
24,39,17,y
51,34,38,x
3,51,24,z
78,37,55,z
48,61,77,y
71,38,42,x
1,81,43,x
63,4,2,y
37,18,4,y
75,81,73,x
98,17,63,x
92,6,90,z
6,76,38,z
31,91,35,y
2,1,51,z
25,75,33,z
63,84,95,z
27,89,54,z
38,93,16,x
77,85,86,z
80,23,7,z
32,64,80,y
13,73,7,z
45,19,18,z
34,40,29,x
93,95,2,x
38,83,28,x
34,18,79,z
85,94,72,y
40,25,18,z
39,87,51,z
49,16,75,z
41,98,99,x
90,2,94,z
55,50,41,z
92,57,4,y
93,15,3,y
37,58,73,x
18,89,10,z
43,8,14,x
13,3,32,y
18,68,24,z
70,37,19,x
55,18,52,x
17,9,31,x
76,52,96,x
58,70,20,z
39,35,38,y
78,89,16,x
8,33,18,x
90,54,65,z
15,71,1,y
18,40,4,z
43,66,6,z
75,39,10,x
95,32,74,x
9,69,92,x
18,48,93,x
44,89,20,z
7,83,53,z
81,49,55,z
69,75,4,x
8,25,25,y
29,74,85,x
19,62,96,z
19,20,94,x
36,47,63,x
5,51,45,z
85,80,52,y
88,6,22,z
41,20,56,x
24,89,64,x
61,8,51,x
48,70,11,y
1,26,81,x
2,93,9,x
75,64,46,x
39,61,3,z
32,91,55,x
66,7,43,z
2,30,26,z
54,6,61,x
72,19,20,y
88,58,35,x
36,48,42,x
99,90,98,x
98,20,57,x
17,31,40,x
77,32,23,z
43,26,73,z
18,4,11,z
7,15,6,z
80,16,45,y
26,71,84,z
86,42,62,x
64,6,60,y
84,71,1,x
9,28,24,z
95,84,2,x
6,74,75,y
11,10,72,y
98,72,91,z
11,79,64,y
80,89,43,z
9,86,68,y
75,2,18,x
24,39,68,x
33,87,91,y
30,1,22,z
38,71,56,z
58,7,72,z
63,74,19,z
32,98,87,x
71,64,20,y
67,5,8,z
94,8,22,x
34,2,88,z
2,89,58,y
14,60,88,y
43,35,68,z
94,90,50,z
56,61,42,y
98,94,10,z
23,1,28,z
85,34,73,x
32,42,43,y
7,59,98,z
47,74,63,y
1,71,18,x
94,94,96,z
91,59,69,x
53,33,78,z
63,46,76,y
4,88,38,z
91,59,30,y
12,2,73,x
27,68,17,x
82,8,11,y
23,31,97,z
77,35,2,y
38,14,66,y
10,84,29,x
81,26,64,z
12,34,74,y
74,86,52,y
56,65,61,x
5,66,34,z
90,50,78,z
72,90,81,z
39,10,76,x
1,82,45,z
57,14,16,y
4,88,53,y
43,92,46,y
37,23,73,z
31,14,37,y
70,1,87,z
24,19,42,x
73,46,21,x
63,30,37,x
15,51,47,y
19,84,55,z
25,30,76,y
86,63,77,z
25,80,90,z
66,99,81,x
34,34,14,x
9,81,4,x
32,12,71,z
11,62,1,x
44,23,95,z
13,79,40,z
97,48,75,x
88,23,28,z
7,22,68,z
46,67,77,z
11,85,78,x
59,62,93,z
18,72,94,x
21,72,30,x
83,51,72,x
23,45,91,y
65,3,8,z
50,63,73,z
40,95,69,z
72,66,18,z
53,96,87,z
37,33,41,y
38,33,69,x
10,12,46,y
28,56,19,z
41,32,14,x
91,45,68,x
42,41,65,x
8,77,41,z
1,34,93,x
89,44,6,x
88,91,68,y
96,85,63,y
74,33,69,y
21,14,59,y
8,24,59,z
88,39,99,x
58,18,2,y
2,11,48,y
24,1,60,z
6,17,90,z
35,28,69,x
31,51,63,y
1,96,14,x
19,34,91,y
86,82,35,x
63,86,73,y
89,79,81,y
56,46,36,y
63,73,69,z
13,52,15,y
25,18,43,y
83,49,88,x
90,78,22,x
97,4,91,z
96,13,82,y
16,64,71,z
3,69,5,z
49,24,77,z
55,39,64,z
43,87,30,z
96,65,43,z
62,57,96,z
34,67,36,z
23,44,87,x
76,50,49,y
73,59,89,y
93,69,24,x
29,19,83,x
43,61,98,x
40,65,67,y
64,51,39,z
7,15,2,z
66,91,22,y
54,99,66,y
11,69,72,y
2,31,91,z
29,86,86,x
1,41,71,x
15,31,20,z
59,12,92,y
19,26,12,z
45,41,14,x
44,42,21,x
56,55,73,x
24,69,61,y
16,28,71,x
88,16,57,x
23,13,68,y
81,47,87,y
58,47,84,z
64,95,72,x
33,38,7,y
88,23,19,x
47,30,7,z
88,32,99,y
89,66,82,x
75,83,49,y
50,69,49,z
79,26,35,x
38,47,92,y
41,7,3,x
5,47,47,x
34,73,22,z
13,68,89,y
31,12,87,y
43,38,34,y
93,26,27,z
70,32,8,x
55,25,57,x
87,83,37,y
98,11,18,y
49,32,46,y
43,45,45,z
86,15,53,x
93,8,38,y
35,80,61,y
42,74,89,x
95,75,72,z
53,37,30,z
28,35,8,z
84,21,79,z
27,65,90,z
86,7,84,y
39,10,9,y
55,76,2,x
85,30,96,z
44,90,44,y
26,52,16,x
58,28,94,z
30,71,32,x
67,26,36,z
47,62,28,x
13,67,45,z
16,14,79,y
82,68,69,x
64,43,61,x
84,36,10,y
23,48,1,y
3,33,69,z
94,32,17,z
33,3,79,y
72,12,10,z
77,85,87,z
31,46,63,z
95,83,79,z
88,69,48,y
50,84,93,z
58,41,84,x
8,86,92,z
38,54,14,x
45,82,76,x
66,62,76,x
56,2,79,y
70,28,14,y
74,65,20,x
3,92,67,x
7,24,20,x
82,36,15,z
56,85,39,z
9,53,77,z
66,66,38,y
34,26,4,y
48,12,31,y
1,29,53,z
33,22,57,x
62,65,27,x
61,52,17,z
95,8,98,y
26,89,70,z
56,99,59,z
52,32,35,x
70,69,45,z
79,2,81,x
71,37,8,x
28,69,29,z
91,33,18,y
70,99,44,y
73,38,10,y
44,53,58,x
29,72,61,x
2,62,83,z
69,1,33,x
23,17,82,z
48,38,10,z
27,48,98,y
72,62,38,y
18,38,1,y
95,16,78,z
13,36,35,y
62,55,4,z
31,92,27,z
7,18,74,y
74,72,20,x
83,19,93,z
72,8,53,z
53,2,56,x
36,51,14,x
14,93,24,z
8,88,22,z
47,25,64,x
86,17,56,x
40,20,27,z
7,18,54,y
17,19,32,y
99,20,87,z
72,4,72,x
27,67,62,z
87,64,19,z
51,17,80,z
73,38,28,x
28,90,30,x
86,86,23,y
67,90,84,z
64,90,26,y
44,94,75,z
76,77,54,y
14,75,85,y
24,40,11,y
39,7,75,z
90,19,66,y
14,46,3,x
3,69,34,x
65,17,8,y
77,91,15,z
33,32,71,x
24,20,74,z
41,24,41,x
19,9,69,y
38,24,50,x
33,73,13,z
4,26,28,x
26,12,4,z
57,1,1,y
45,99,56,z
35,16,82,y
20,38,96,x
89,25,69,x
65,57,82,y
80,8,31,z
42,26,74,x
82,33,41,y
37,91,3,x
65,14,77,z
28,73,42,z
7,29,81,y
63,85,96,y
39,2,18,x
10,5,61,z
71,48,17,y
80,91,83,y
81,14,54,z
60,2,88,y
29,32,26,y
42,81,11,z
11,63,15,x
65,34,81,x
81,74,77,y
89,54,56,z
23,9,47,x
9,12,15,x
38,65,56,x
12,61,36,x
19,85,87,x
79,67,41,x
69,32,20,x
72,27,52,z
49,9,69,y
15,68,37,y
15,19,50,y
97,10,64,x
45,35,12,z
55,47,65,z
69,91,53,y
31,86,39,z
46,93,68,z
82,77,81,y
82,51,56,y
50,72,5,z
5,57,38,z
80,17,26,x
18,37,2,z
56,68,62,z
81,86,58,x
3,18,82,y
57,75,80,z
94,7,6,z
90,13,32,x
69,4,21,z
97,3,13,y
47,3,54,x
25,18,93,z
69,87,47,x
3,32,95,y
72,86,83,x
70,49,43,z
86,95,24,z
45,98,92,x
9,52,45,z
14,19,96,x
46,10,93,x
21,26,72,y
99,33,79,z
36,75,8,z
56,86,55,z
89,80,1,y
10,62,34,y
40,99,60,x
76,8,40,y
24,71,50,y
2,2,1,z
51,99,59,y
19,41,46,y
79,19,5,z
81,16,7,z
26,77,21,z
12,27,41,x
5,95,10,x
2,96,21,x
99,33,46,z
29,80,40,z
44,49,63,z
87,73,15,z
10,23,8,z
58,48,55,y
43,46,46,y
89,70,13,x
80,78,71,y
34,61,61,x
26,93,67,x
75,73,94,z
78,34,54,z
83,96,65,z
71,67,43,y
86,91,9,z
31,97,90,x
29,88,77,y
20,14,59,y
99,3,67,y
64,6,93,z
94,37,97,z
66,90,89,z
8,34,46,y
8,12,2,z
21,33,11,x
69,6,13,z
8,79,33,x
79,10,57,z
16,76,25,y
80,51,40,y
41,88,54,x
84,85,5,y
71,20,37,y
66,51,75,z
33,70,50,y
62,39,13,y
76,59,23,x
40,18,54,z
96,24,79,x
30,53,27,z
12,11,18,x
31,13,30,x
60,84,97,y
52,71,49,y
29,38,34,x
93,56,25,x
11,61,45,z
95,46,18,z
38,36,86,z
62,81,37,x
9,62,23,y
79,31,9,y
4,70,82,y
58,12,28,z
42,48,66,z
95,87,66,z
56,12,25,z
95,13,82,z
40,65,15,x
39,42,41,x
42,86,46,z
6,96,41,x
66,64,56,x
9,35,84,y
38,57,49,z
25,40,24,x
51,19,56,z
34,53,68,z
28,9,48,x
89,13,17,z
1,5,60,x
33,33,55,z
39,51,7,y
62,75,87,z
46,23,41,x
28,16,24,y
79,71,33,z
80,94,33,z
16,13,39,x
21,68,19,x
81,43,22,x
25,60,38,x
94,16,42,z
27,47,99,z
78,32,55,x
82,66,13,x
66,56,59,z
2,65,35,x
50,86,88,z
7,57,25,y
81,4,68,y
78,22,89,z
73,10,96,x
79,15,63,y
53,87,88,z
46,16,21,z
56,48,8,y
33,49,57,y
95,22,43,x
13,3,41,x
21,40,98,y
45,53,81,z
30,98,40,y
55,80,34,x
65,78,1,y
55,2,52,z
93,82,47,x
52,38,82,z
65,36,59,y
22,21,60,x
24,89,17,y
41,77,31,z
87,32,12,y
63,71,20,x
46,64,19,z
18,53,42,z
62,29,87,x
21,55,37,z
56,67,85,x
97,51,83,x
6,90,30,z
34,14,95,x
94,9,63,y
33,64,34,z
30,69,4,x
40,72,46,z
91,12,25,x
96,39,68,x
30,64,9,y
90,33,28,z
90,37,16,z
61,5,98,y
43,2,95,y
49,18,4,z
51,59,44,y
19,34,42,y
6,43,12,z
37,85,90,y
17,72,46,z
56,8,86,y
43,12,38,x
31,96,53,y
80,86,89,z
89,8,95,z
13,75,88,y
19,45,54,z
83,71,57,y
95,50,84,y
92,41,64,z
85,70,22,y
12,29,34,y
94,25,5,y
75,2,85,x
27,12,39,y
40,59,51,y
13,74,45,y
41,74,36,z
93,94,13,x
19,10,57,x
10,33,29,z
95,11,71,y
38,68,89,z
12,92,73,z
61,75,97,z
84,60,99,z
60,55,89,z
54,48,24,x
25,99,76,z
45,91,62,z
47,25,71,z
56,37,31,x
1,60,99,y
11,36,21,y
99,34,94,x
79,56,64,z
93,87,20,x
60,6,71,x
16,17,40,z
80,15,89,z
73,13,42,x
73,62,16,x
34,89,87,y
71,28,67,z
22,55,17,z
19,18,61,y
29,83,42,x
75,96,75,y
35,62,11,x
32,72,64,z
56,39,73,x
5,61,25,x
14,44,62,z
93,94,67,x
90,61,30,z
81,11,14,z
13,51,89,x
70,1,9,x
73,22,31,y
11,32,16,y
44,30,82,x
42,52,54,x
54,98,7,y
16,18,83,x
88,17,81,x
50,82,42,y
65,28,66,x
24,6,92,y
59,37,13,z
13,61,7,z
81,60,97,z
73,19,82,y
67,94,42,y
80,3,15,z
84,66,38,y
25,71,75,z
94,67,59,z
96,31,8,z
76,43,35,x
56,27,18,z
13,28,65,y
57,51,57,z
89,43,20,z
1,28,86,z
38,41,10,y
16,92,46,y
75,57,69,x
30,85,98,x
89,81,42,x
78,64,76,y
52,47,57,y
7,29,59,y
78,4,37,x
1,57,61,z
54,81,16,y
14,15,84,z
39,28,54,y
71,27,20,x
93,32,5,x
38,35,58,y
25,45,53,y
40,64,50,x
24,39,59,y
41,74,68,y
98,23,44,y
24,29,95,y
14,55,40,z
68,43,38,z
60,68,60,z
50,22,41,z
64,94,73,x
83,27,20,y
7,78,65,z
60,94,22,z
61,39,58,z
51,21,81,z
94,85,4,x
23,19,53,y
43,33,20,z
10,83,21,z
20,6,28,z
80,86,22,y
77,58,66,x
1,85,68,y
57,97,61,z
12,72,16,y
19,71,55,x
28,5,77,y
22,49,95,x
42,37,47,y
16,39,83,z
77,35,66,x
4,30,9,z
19,18,6,z
38,77,19,z
4,31,99,y
37,5,71,z
53,54,2,z
65,27,52,y
21,6,76,y
21,94,33,x
96,87,9,x
74,56,2,y
99,9,46,z
31,60,80,z
91,45,98,x
79,89,58,z
47,68,13,x
77,14,15,x
85,32,94,x
18,42,36,x
60,86,45,y
71,73,84,y
31,6,32,x
84,97,25,z
73,74,77,x
84,8,82,z
86,45,95,x
96,40,90,z
94,82,91,y
94,95,77,y
89,37,57,x
39,88,73,z
33,16,38,z
52,96,15,y
30,5,66,y
81,57,22,z
73,23,91,x
10,51,38,z
4,59,33,z
52,27,79,y
91,56,52,x
51,79,59,x
80,45,88,z
35,62,32,x
49,35,79,z
57,13,71,z
18,79,98,y
24,91,64,z
32,58,52,y
38,14,57,x
40,86,18,z
3,34,60,z
24,65,49,z
21,2,9,x
37,1,27,y
16,66,69,x
65,46,7,y
64,77,43,y
71,38,70,y
94,26,33,x
72,82,8,x
95,4,3,z
67,74,6,z
20,23,95,y
8,89,69,x
45,45,15,x
58,86,86,y
58,21,11,x
5,76,84,z
10,60,86,x
63,76,73,z
21,93,84,z
56,15,32,z
41,95,12,z
73,45,13,z
68,68,95,x
18,2,81,z
82,45,41,y
31,83,76,z
21,57,27,x
30,53,72,z
92,34,56,y
91,70,32,x
18,65,17,z
27,21,73,x
88,61,86,y
51,85,80,z
94,81,77,y
72,78,29,y
11,17,39,z
24,29,70,x
30,70,47,x
94,72,66,y
92,33,85,z
76,69,69,z
2,6,48,x
56,19,86,y
88,6,35,z
80,48,83,x
46,1,74,z
31,36,85,y
61,59,43,x
40,88,98,y
63,71,72,z
96,32,20,x
45,90,50,z
80,88,61,y
86,36,78,y
82,36,96,x
59,28,24,y
46,69,47,z
40,23,8,x
12,77,56,x
31,11,30,y
72,76,87,z
58,91,63,x
6,77,31,z
83,13,53,x
47,65,8,x
16,99,41,y
7,47,15,z
18,32,72,x
22,54,46,z
77,93,22,y
83,9,83,y
24,95,97,x
46,54,64,y
45,93,44,x
99,92,87,x
87,98,75,z
76,47,78,x
4,46,61,y
41,34,95,z
73,58,87,z
6,29,74,y
25,56,72,x
67,61,60,y
74,58,35,x
98,16,78,z
6,14,87,x
57,56,84,x
22,73,2,z
36,31,64,x
26,55,87,z
51,80,40,x
90,73,45,x
99,36,94,y
29,98,35,y
6,10,21,x
56,84,79,x
88,91,72,y
37,60,26,z
52,38,65,y
74,78,79,y
33,96,43,y
66,90,28,z
8,88,9,x
97,67,95,x
84,51,85,x
70,12,82,z
70,55,20,x
33,37,38,y
14,10,60,x
33,61,8,x
5,70,6,y
62,2,62,x
24,10,76,z
79,46,71,y
10,10,55,z
47,64,35,x
13,56,83,y
62,98,53,z
39,38,9,z
78,90,35,x
5,32,91,z
80,33,89,z
76,14,75,x
29,41,60,x
29,80,20,y
77,29,93,z
70,76,42,y
60,28,55,z
19,71,43,z
50,3,51,z
13,73,48,x
29,97,72,z
94,79,32,x
51,77,14,x
90,25,69,x
31,98,97,z
31,8,65,x
4,63,55,y
87,78,77,z
14,50,10,z
1,26,89,z
98,73,86,x
45,47,46,z
55,94,4,z
67,48,89,y
7,18,82,x
29,62,57,x
58,52,6,y
91,85,44,z
86,48,79,x
87,77,29,y
78,8,5,x
88,92,93,z
90,76,79,z
69,91,10,y
57,14,35,x
48,43,42,y
73,26,64,y
62,14,74,x
2,64,87,z
36,94,66,x
75,82,68,y
72,17,42,y
7,69,75,z
48,16,96,x
42,92,78,x
96,83,40,y
78,33,40,y
74,47,62,x
50,29,57,x
4,65,93,y
12,33,32,x
46,23,17,x
12,4,70,y
94,14,67,z
87,26,41,x
43,39,55,z
63,79,74,z
74,77,23,y
35,38,61,y
76,93,53,x
57,78,67,z
73,13,32,y
87,64,20,x
36,49,5,x
1,77,96,x
89,14,53,z
58,28,70,x
47,51,97,z
89,95,64,x
74,31,74,y
58,54,34,x
25,74,55,z
73,2,94,z
81,55,87,x
87,29,71,z
61,66,75,x
93,41,30,x
76,60,69,x
54,90,19,y
91,45,92,x
35,72,41,z
83,51,37,y
16,64,6,y
99,65,22,x
81,83,22,y
42,46,72,y
30,20,74,x
42,77,31,z
68,55,12,x
28,89,13,x
82,41,15,z
43,81,93,x
6,65,81,z
81,27,58,z
60,64,7,z
92,73,91,x
23,51,40,x
25,55,69,z
91,49,6,z
2,3,94,x
36,83,10,z
59,24,94,y
12,4,86,z
21,97,43,y
57,30,95,y
46,22,44,z
70,18,91,y
9,75,53,z
6,73,72,x
32,85,87,x
99,10,39,z
71,28,68,y
45,23,2,z
17,90,77,y
70,62,51,z
77,87,85,y
2,64,94,x
54,95,1,y
90,78,63,z
56,95,53,y
1,30,2,x
45,97,35,x
53,92,27,x
7,44,74,z
6,8,4,x
93,92,81,z
34,72,14,z
17,90,95,x
57,70,95,x
11,48,64,z
7,74,9,y
24,60,16,y
11,75,6,x
19,98,24,z
9,30,29,z
48,41,65,y
98,17,78,y
33,17,75,z
87,12,72,x
45,22,26,z
64,7,86,x
91,40,88,y
24,24,13,z
47,93,87,x
86,62,93,z
66,58,75,x
50,69,80,y
96,12,6,x
54,92,20,y
33,3,72,y
86,2,67,y
17,59,37,x
63,67,46,x
36,67,6,z
36,51,76,z
83,21,27,x
15,21,81,x
13,12,53,x
71,60,63,x
94,15,77,z
74,83,78,z
22,69,50,y
4,28,9,z
36,95,77,y
97,77,81,x
32,20,55,x
87,38,13,x
98,21,56,x
61,9,40,y
97,7,49,z
26,69,57,y
88,91,19,x
80,83,38,z
23,32,22,y
57,58,49,x
95,27,89,y
86,15,45,y
69,14,54,z
13,57,44,x
51,99,28,z
54,97,93,z
84,63,71,y
23,21,83,x
24,20,50,z
3,27,26,z
5,21,64,y
8,57,92,z
53,83,55,y
74,94,78,x
88,85,34,y
95,92,59,x
89,30,54,z
87,72,53,x
32,89,78,x
84,78,53,y
91,92,47,y
89,57,50,x
17,93,45,x
3,42,52,z
37,97,39,x
1,44,73,y
61,64,72,z
91,66,80,x
21,97,41,x
56,89,65,y
89,83,36,z
75,41,27,z
56,71,70,z
32,73,57,z
12,69,23,x
32,38,99,x
72,31,19,y
71,94,8,x
27,2,79,z
6,5,74,z
40,4,86,x
89,22,20,x
47,13,38,x
99,58,7,y
30,67,66,x
51,46,33,z
45,91,54,z
83,74,43,y
3,21,95,y
78,88,27,x
86,83,86,z
40,63,90,x
28,41,86,x
7,98,68,z
50,82,35,x
66,53,43,x
77,45,41,y
63,78,87,x
31,28,28,z
24,62,7,y
75,76,47,z
60,30,6,y
63,24,53,x
54,96,28,z
2,40,33,y
85,62,66,y
18,97,59,z
38,3,95,z
84,34,8,x
84,60,18,z
84,11,96,z
47,69,98,y
89,90,77,z
81,4,32,z
41,77,20,y
72,35,9,y
35,84,37,y
38,71,97,z
98,66,36,y
3,36,45,z
24,18,79,y
42,97,39,z
64,10,75,z
47,37,94,x
51,89,85,y
86,7,67,x
45,81,54,y
43,65,60,x
98,96,56,z
79,38,92,y
43,54,94,y
44,48,1,z
41,93,38,y
90,92,70,y
27,13,57,z
16,43,87,x
54,77,79,z
50,71,49,z
65,6,15,x
70,77,18,x
89,91,52,x
85,85,27,y
15,75,61,x
12,23,20,y
55,36,21,y
62,8,31,y
89,44,3,z
25,44,79,z
25,87,94,y
12,56,7,y
44,80,71,z
13,85,90,x
65,2,39,z
69,19,92,z
89,62,70,x
59,32,74,y
88,51,53,y
51,30,21,z
82,12,13,x
95,74,8,y
69,27,27,y
71,64,56,z
25,38,14,x
68,16,50,x
24,9,37,y
45,40,11,z
26,72,55,y
29,35,83,y
28,69,82,z
8,93,37,y
62,87,52,z
65,17,86,z
34,4,98,z
9,89,7,y
75,33,74,y
11,35,70,z
20,26,64,x
1,96,80,x
73,13,61,x
78,71,95,z
23,95,60,z
82,53,50,x
96,70,68,y
54,44,27,z
52,8,63,z
63,83,61,y
3,40,3,x
6,47,23,z
37,35,17,z
20,79,3,x
55,33,73,x
5,87,54,x
60,14,51,x
64,48,93,z
68,93,71,z
79,28,48,z
34,24,91,y
7,29,58,z
92,51,41,x
83,38,40,y
14,29,95,y
39,3,26,y
38,36,87,x
35,21,51,y
36,52,62,y
59,97,38,z
31,13,95,y
45,11,60,y
33,69,20,x
63,67,4,x
73,78,59,y
87,31,40,x
85,14,36,z
94,2,8,z
84,60,82,z
32,42,48,y
3,1,58,y
55,64,9,x
49,83,52,y
82,1,65,x
99,69,35,y
18,98,38,x
26,92,1,z
25,31,53,y
9,98,58,x
45,92,42,y
53,52,84,x
38,90,86,z
29,72,50,z
57,11,89,z
53,93,5,y
10,76,92,y
18,43,33,z
53,41,32,z
73,98,38,x
49,81,58,y
40,54,67,z
1,40,19,z
95,32,80,y
27,85,47,y
14,66,99,z
55,12,44,z
49,65,61,x
26,35,30,y
59,28,17,z
3,19,53,x
62,71,96,z
17,63,55,x
53,80,85,z
61,66,80,z
10,17,68,y
40,21,20,x
71,70,9,y
35,19,21,y
1,3,19,x
80,82,84,y
72,51,92,z
39,59,38,x
90,1,60,y
10,95,34,y
70,61,16,z
79,73,84,y
62,7,45,y
17,72,77,x
52,39,80,z
93,65,85,y
27,99,10,y
45,66,11,x
85,85,31,z
26,43,58,y
48,47,27,x
9,76,77,y
12,75,58,z
79,16,67,z
60,9,61,y
7,1,86,z
30,68,34,y
2,55,36,z
62,82,45,x
24,88,39,z
31,52,89,x
1,45,60,y
50,34,25,x
70,4,45,x
73,13,83,y
3,56,63,y
43,3,73,y
56,39,94,z
71,35,30,y
80,25,43,x
94,49,99,x
31,75,20,y
42,13,23,y
38,39,60,z
30,93,74,x
92,68,3,y
83,19,88,y
24,45,18,y
73,4,20,y
74,59,16,z
48,28,39,z
4,68,71,x
52,32,24,y
20,6,25,z
35,68,80,z
55,86,29,y
46,94,20,x
45,47,79,x
28,41,83,z
29,39,34,z
9,59,80,x
80,32,44,z
24,46,1,x
22,69,71,z
15,81,14,z
31,78,95,z
84,82,97,x
56,23,62,z
48,7,32,z
98,20,97,z
37,57,57,z
39,25,60,z
12,93,4,z
43,5,27,y
3,21,50,x
26,19,66,z
4,96,24,z
31,3,35,x
10,65,77,y
47,12,43,y
50,1,20,y
44,54,13,x
47,73,89,y
95,83,82,y
99,26,91,x
64,37,84,y
88,66,32,y
35,26,25,y
18,98,19,z
59,65,88,z
17,72,54,x
95,22,94,y
84,43,18,x
39,58,64,x
77,37,17,y
31,15,51,z
98,59,67,z
32,16,40,x
22,34,2,x
52,50,21,z
40,81,61,y
86,52,62,z
15,6,70,y
52,68,46,x
59,9,43,y
32,60,43,x
12,24,15,z
51,15,41,z
72,55,33,z
9,82,45,x
84,92,12,y
23,67,2,z
46,77,80,z
9,15,1,y
18,45,47,y
97,12,12,z
10,85,19,x
94,60,53,z
94,62,34,z
10,36,12,z
86,82,23,y
64,52,79,z
55,16,74,y
54,2,54,y
68,74,63,x
30,28,3,x
17,40,76,y
71,42,62,y
70,5,36,z
82,9,81,x
58,41,21,x
15,59,57,z
73,91,38,y
46,44,72,z
31,18,20,x
62,97,78,x
62,91,33,z
55,54,52,z
11,55,68,x
27,47,65,z
74,79,79,z
35,68,18,x
74,88,3,z
58,50,86,x
4,65,67,x
42,7,95,z
29,54,74,y
94,59,28,x
80,44,46,y
53,15,81,z
87,43,57,x
80,92,30,x
98,30,73,z
16,65,76,y
39,52,41,x
66,2,44,z
8,21,13,z
64,40,38,x
54,94,23,y
89,14,6,z
28,49,85,z
84,24,32,x
78,47,74,z
32,77,58,y
8,88,64,y
96,41,85,x
92,66,24,y
33,76,89,y
8,62,38,x
21,54,61,y
31,82,18,x
93,12,93,y
38,72,72,y
33,60,70,y
33,53,14,y
58,70,27,z
83,77,53,z
52,20,72,z
17,38,48,x
97,8,71,x
56,6,31,x
32,98,42,z
68,28,36,y
6,33,73,z
31,25,68,x
51,59,10,x
22,50,38,x
76,59,15,x
59,1,36,x
80,71,66,x
65,16,42,y
17,26,22,x
50,16,35,y
15,2,67,z
59,29,32,x
11,4,83,y
